GBSpos,NoWomen,iso3,sampling_site,culture_method
73,464,SVN,0,0
184,1064,SVN,1,0
356,1569,SWE,0,0
4,106,TGO,0,0
13,306,TGO,1,1
5,200,TGO,1,1
56,901,THA,1,0
24,200,THA,1,0
29,200,THA,1,0
65,406,THA,0,0
58,320,THA,0,0
47,302,THA,0,0
64,204,TTO,0,0
66,201,TTO,0,0
130,405,TTO,0,0
39,300,TUN,0,0
38,294,TUN,0,0
27,207,TUN,1,1
4,40,TUR,0,0
7,100,TUR,0,0
9,110,TUR,0,0
4,76,TUR,1,0
10,114,TUR,0,0
10,100,TUR,0,0
33,310,TUR,0,0
41,150,TUR,1,1
13,200,TUR,0,0
48,150,TUR,0,0
24,300,TUR,0,0
46,500,TUR,0,0
98,671,TUR,1,0
9,300,TUR,0,0
21,215,TUR,0,0
69,300,TZA,0,0
28,295,TZA,0,1
10,52,UKR,0,0
52,300,URY,0,0
856,3307,USA,0,0
574,2111,USA,0,0
15,69,USA,1,0
743,2963,USA,0,0
1325,5198,USA,0,0
106,350,USA,0,0
296,1472,USA,0,0
1031,5497,USA,0,0
34,122,VEN,1,0
56,171,VEN,1,0
18,100,VEN,0,0
22,505,VNM,1,1
830,3964,ZAF,1,0
551,2561,ZAF,1,0
148,521,ZAF,0,0
128,413,ZAF,0,0
128,413,ZAF,0,0
72,284,ZAF,0,0
128,413,ZAF,0,0
811,4649,ZAF,1,0
16,81,ZWE,1,1
86,399,ZWE,1,1
65,206,ZWE,0,0
25,210,ZWE,1,0
60,100,ZWE,0,0
138,300,ZWE,0,0
142,672,ZWE,0,0
